price,area,bedrooms,bathrooms,House Age,hotwaterheating,airconditioning,furnishingstatus,Address
13300000,7420,4,2,3,no,yes,fully furnished,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
12250000,9960,,2,2,no,no,semi-furnished,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
8750000,4320,,1,2,yes,no,semi-furnished,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
9100000,6600,4,2,2,no,yes,empty,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
12215000,7500,4,2,2,no,yes,fully furnished,"USS Barnett
FPO AP 44820"
11410000,7420,4,1,2,no,yes,fully furnished,"USNS Raymond
FPO AE 09386"
10850000,7500,,3,1,no,yes,semi-furnished,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
10150000,8580,4,3,4,no,yes,semi-furnished,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
10150000,16200,5,3,2,no,no,empty,"972 Joyce Viaduct
Lake William, TN 17778-6483"
9870000,8100,4,1,2,no,yes,fully furnished,"USS Gilbert
FPO AA 20957"
9800000,5750,,2,4,no,yes,empty,"Unit 9446 Box 0958
DPO AE 97025"
9800000,13200,,1,2,no,yes,fully furnished,"6368 John Motorway Suite 700
Janetbury, NM 26854"
9681000,6000,4,3,2,yes,no,semi-furnished,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
9310000,6550,4,2,2,no,yes,semi-furnished,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
9240000,3500,4,2,2,yes,no,fully furnished,"829 Welch Track Apt. 992
North John, AR 26532-5136"
9240000,7800,,2,2,no,no,semi-furnished,"PSC 5330, Box 4420
APO AP 08302"
9100000,6000,4,1,2,no,no,semi-furnished,"2278 Shannon View
North Carriemouth, NM 84617"
12250000,8960,4,4,4,no,yes,fully furnished,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
8960000,8500,,2,4,no,yes,fully furnished,"5498 Rachel Locks
New Gregoryshire, PW 54755"
8890000,4600,,2,2,no,yes,fully furnished,"Unit 7424 Box 2786
DPO AE 71255"
8855000,6420,,2,2,no,yes,semi-furnished,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
8680000,7155,,2,1,no,yes,empty,"USNS Brown
FPO AP 85833"
8645000,8050,3,1,1,no,yes,fully furnished,"95198 Ortiz Key
Port Sara, TN 24541-2855"
8645000,4560,3,2,2,no,yes,fully furnished,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
8575000,8800,3,2,2,no,yes,fully furnished,"24282 Paul Valley
West Perry, MI 03169-5806"
8540000,6540,4,2,2,no,yes,fully furnished,"61938 Brady Falls
Lewisfort, DE 61227"
8463000,6000,3,2,4,no,yes,semi-furnished,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
8400000,8875,3,1,1,no,no,semi-furnished,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
8400000,7950,5,2,2,yes,no,empty,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
8400000,5500,4,2,2,no,yes,semi-furnished,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
8400000,7475,3,2,4,no,yes,empty,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
8400000,7000,3,1,4,no,yes,semi-furnished,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
8295000,4880,4,2,2,no,yes,fully furnished,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
8190000,5960,3,3,2,no,no,empty,"039 Jordan Pike
Emilyville, ID 27442"
8120000,6840,5,1,2,no,yes,fully furnished,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
8080940,7000,3,2,4,no,yes,fully furnished,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
8043000,7482,3,2,3,yes,no,fully furnished,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
7980000,9000,4,2,4,no,yes,fully furnished,"7585 Lynn Loop
East Judy, WV 73336"
7962500,6000,3,1,4,no,yes,empty,"Unit 1388 Box 9350
DPO AP 70848"
7910000,6000,4,2,4,no,yes,semi-furnished,"9932 Eric Circles
Lake Martha, WY 34611-6127"
7875000,6550,3,1,2,no,yes,fully furnished,"7896 Walker Spring
Loriport, MH 72956"
7840000,6360,3,2,4,no,yes,fully furnished,"549 Darren Plaza
Lake Kevin, UT 27155"
7700000,6480,3,2,4,no,yes,empty,"90634 Michelle Valleys
North Victoria, WV 99370"
7700000,6000,4,2,4,no,no,semi-furnished,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
7560000,6000,4,2,4,no,yes,fully furnished,"43087 Jerome Field
West Deborah, SD 49213"
7560000,6000,3,2,3,no,yes,semi-furnished,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
7525000,6000,3,2,4,no,yes,fully furnished,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
7490000,6600,3,1,4,no,yes,fully furnished,"Unit 8108 Box 5159
DPO AP 04678"
7455000,4300,3,2,2,no,no,empty,"08639 Garcia Port
Anthonybury, CT 17971"
7420000,7440,3,2,1,no,yes,semi-furnished,"91863 Curtis Point
New Richard, AK 99996-7554"
7420000,7440,3,2,4,no,no,empty,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
7420000,6325,3,1,4,no,yes,empty,"7796 Joseph Burg
Danielsside, RI 70370"
7350000,6000,4,2,4,no,yes,fully furnished,"173 Mendoza Land
West John, NJ 57690"
7350000,5150,3,2,4,no,yes,semi-furnished,"3288 Lee Pass
South Julieton, PW 02759-4964"
7350000,6000,3,2,2,no,yes,semi-furnished,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
7350000,6000,3,1,2,no,yes,empty,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
7343000,11440,4,1,2,no,no,semi-furnished,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
7245000,9000,4,2,4,no,yes,fully furnished,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
7210000,7680,4,2,4,no,yes,semi-furnished,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
7210000,6000,3,2,4,no,yes,fully furnished,"4872 Delgado Ramp
North James, IA 36544"
7140000,6000,3,2,2,no,no,semi-furnished,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
7070000,8880,2,1,1,no,yes,semi-furnished,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
7070000,6240,4,2,2,no,yes,fully furnished,"PSC 9354, Box 0703
APO AA 58696-1278"
7035000,6360,4,2,3,no,yes,fully furnished,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
7000000,11175,3,1,1,no,yes,fully furnished,"122 Russo Neck
South Kevin, KY 20712-5282"
6930000,8880,3,2,2,no,yes,fully furnished,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
6930000,13200,2,1,1,yes,no,fully furnished,"7125 Mullins Cliff
Maryborough, WY 66971"
6895000,7700,3,2,1,no,no,empty,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
6860000,6000,3,1,1,no,yes,fully furnished,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
6790000,12090,4,2,2,no,no,fully furnished,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
6790000,4000,3,2,2,no,yes,semi-furnished,"10973 Clark Trafficway
Meyersbury, LA 63237"
6755000,6000,4,2,4,no,yes,empty,"91733 Baker Orchard
South Kyle, KS 37301"
6720000,5020,3,1,4,no,yes,empty,"024 William Course
East Charlotteview, DE 69073-3104"
6685000,6600,2,2,4,no,no,fully furnished,"PSC 4455, Box 3268
APO AP 45454"
6650000,4040,3,1,2,yes,no,fully furnished,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
6650000,4260,4,2,2,yes,no,semi-furnished,"USCGC Thompson
FPO AA 13237-3887"
6650000,6420,3,2,3,no,yes,fully furnished,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
6650000,6500,3,2,3,no,yes,fully furnished,"Unit 2139 Box 3667
DPO AP 49517"
6650000,5700,3,1,1,no,yes,fully furnished,"253 Golden Island
East Donald, CT 91882"
6650000,6000,3,2,3,no,yes,fully furnished,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
6629000,6000,3,1,2,yes,no,semi-furnished,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
6615000,4000,3,2,2,no,yes,semi-furnished,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
6615000,10500,3,2,1,no,yes,furnished,"708 Pena Ramp
Terryburgh, CA 31572-1304"
6580000,6000,3,2,4,no,yes,semi-furnished,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
6510000,3760,3,1,2,yes,no,semi-furnished,"Unit 3857 Box 9497
DPO AE 92239"
6510000,8250,3,2,3,no,yes,furnished,"042 Mitchell Mountains
Adamsview, OR 44424"
6510000,6670,3,1,3,no,no,empty,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
6475000,3960,3,1,1,no,no,semi-furnished,"38449 Shaw Glen
Pattonside, TX 98415"
6475000,7410,3,1,1,no,yes,empty,"82387 Hensley Bypass
Danielmouth, ME 30791"
6440000,8580,5,3,2,no,no,furnished,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
6440000,5000,3,1,2,no,yes,semi-furnished,"2124 Garcia Viaduct
North Kellytown, DC 30864"
