CentralAir,Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
Y,79545.45857,6,7,4,23087,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
Y,79248.64245,6,7,3,40173,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
Y,61287.06718,6,9,5,36882,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
Y,63345.24005,7,6,3,34310,1260616.807,"USS Barnett
FPO AP 44820"
Y,59982.19723,5,8,4,26354,630943.4893,"USNS Raymond
FPO AE 09386"
Y,80175.75416,5,6,4,26748,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
Y,64698.46343,6,8,3,60828,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
Yes,78394.33928,7,7,2,36516,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
Y,59927.66081,5,6,2,29387,798869.5328,"USS Gilbert
FPO AA 20957"
Y,81885.92718,4,8,6,40150,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
Y,80527.47208,8,5,4,47224,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
Y,50593.6955,4,7,4,34344,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
Y,39033.80924,8,7,3,39220,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
Y,73163.66344,7,6,2,32326,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
Y,69391.38018,5,8,4,35521,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
Y,73091.86675,5,9,4,23930,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
Y,79706.96306,5,8,3,39718,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
Y,61929.07702,5,5,4,24596,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
Y,63508.1943,6,7,5,35720,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
Y,62085.2764,6,7,5,44922,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
Y,86294.99909,7,8,4,47561,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
Y,60835.08998,6,7,2,45575,929247.5995,"USNS Brown
FPO AP 85833"
Y,64490.65027,4,5,4,40359,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
Y,60697.35154,6,7,6,28141,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
